"11/10/2010 14",14.00,29.53,32.34,8829,TRUE,210,0,,,,
"11/10/2010 15",15.00,28.49,32.34,8820,TRUE,210,0,,,,
"11/10/2010 16",16.00,28.4,32.35,8865,TRUE,210,0,,,,
"11/10/2010 17",17.00,31.28,32.35,9029,FALSE,180,938.4,,,,
"11/10/2010 18",18.00,32.43,32.36,9401,FALSE,150,972.9,,,,
"11/10/2010 19",19.00,32.55,32.36,9314,FALSE,120,976.5,,,,
"11/10/2010 20",20.00,37.74,32.37,9186,FALSE,90,1132.2,,,,
"11/10/2010 21",21.00,35.51,32.38,9024,FALSE,60,1065.3,,,,
"11/10/2010 22",22.00,33.41,32.39,8814,FALSE,30,1002.3,,,,
"11/10/2010 23",23.00,29,32.4,8479,FALSE,0,0,,,,
"11/10/2010 24",24.00,29.08,32.4,8136,TRUE,27.75,-872.4,,,,
"11/11/2010 01",1.00,19.99,32.4,7865,TRUE,55.5,-599.7,,,,
"11/11/2010 02",2.00,18.3,32.39,7703,TRUE,83.25,-549,,,,
"11/11/2010 03",3.00,18.19,32.39,7610,TRUE,111,-545.7,,,,
"11/11/2010 04",4.00,18.12,32.4,7587,TRUE,138.75,-543.6,,,,
"11/11/2010 05",5.00,18.67,32.4,7623,TRUE,166.5,-560.1,,,,
"11/11/2010 06",6.00,25.1,32.41,7761,TRUE,194.25,-753,,,,
"11/11/2010 07",7.00,19.27,32.4,7986,TRUE,210,-578.1,,,,
"11/11/2010 08",8.00,25.75,32.39,8254,TRUE,210,0,,,,
"11/11/2010 09",9.00,27.34,32.39,8390,TRUE,210,0,,,,
"11/11/2010 10",10.00,27.35,32.39,8534,TRUE,210,0,,,,
"11/11/2010 11",11.00,27.9,32.39,8602,TRUE,210,0,,,,
"11/11/2010 12",12.00,28.39,32.38,8612,TRUE,210,0,,,,
"11/11/2010 13",13.00,26.09,32.38,8616,TRUE,210,0,,,,
"11/11/2010 14",14.00,20.31,32.36,8564,TRUE,210,0,,,,
"11/11/2010 15",15.00,19.27,32.35,8543,TRUE,210,0,,,,
"11/11/2010 16",16.00,20.69,32.34,8603,TRUE,210,0,,,,
"11/11/2010 17",17.00,26.82,32.33,8840,FALSE,180,804.6,,,,
"11/11/2010 18",18.00,29.12,32.34,9243,FALSE,150,873.6,,,,
"11/11/2010 19",19.00,28.76,32.34,9145,FALSE,120,862.8,,,,
"11/11/2010 20",20.00,27.76,32.34,8978,FALSE,90,832.8,,,,
"11/11/2010 21",21.00,26.7,32.33,8824,FALSE,60,801,,,,
"11/11/2010 22",22.00,24.61,32.33,8585,FALSE,30,738.3,,,,
"11/11/2010 23",23.00,15.09,32.32,8247,FALSE,0,0,,,,
"11/11/2010 24",24.00,12.08,32.31,7934,TRUE,27.75,-362.4,,,,
"11/12/2010 01",1.00,10.72,32.3,7692,TRUE,55.5,-321.6,,,,
"11/12/2010 02",2.00,15.71,32.29,7642,TRUE,83.25,-471.3,,,,
"11/12/2010 03",3.00,13.11,32.27,7566,TRUE,111,-393.3,,,,
"11/12/2010 04",4.00,15.27,32.26,7574,TRUE,138.75,-458.1,,,,
"11/12/2010 05",5.00,17.05,32.24,7654,TRUE,166.5,-511.5,,,,
"11/12/2010 06",6.00,16.06,32.22,7765,TRUE,194.25,-481.8,,,,
"11/12/2010 07",7.00,11.6,32.18,8074,TRUE,210,-348,,,,
"11/12/2010 08",8.00,20.17,32.15,8543,TRUE,210,0,,,,
"11/12/2010 09",9.00,22.97,32.14,8707,TRUE,210,0,,,,
"11/12/2010 10",10.00,27.1,32.13,8819,TRUE,210,0,,,,
"11/12/2010 11",11.00,35.43,32.14,8923,TRUE,210,0,,,,
"11/12/2010 12",12.00,39.27,32.15,8932,TRUE,210,0,,,,
"11/12/2010 13",13.00,37.65,32.16,8905,TRUE,210,0,,,,
"11/12/2010 14",14.00,31.74,32.15,8877,TRUE,210,0,,,,
"11/12/2010 15",15.00,33.85,32.16,8820,TRUE,210,0,,,,
"11/12/2010 16",16.00,33.73,32.16,8802,TRUE,210,0,,,,
"11/12/2010 17",17.00,33.3,32.16,8972,FALSE,180,999,,,,
"11/12/2010 18",18.00,39.18,32.17,9332,FALSE,150,1175.4,,,,
"11/12/2010 19",19.00,36.84,32.17,9205,FALSE,120,1105.2,,,,
"11/12/2010 20",20.00,36.7,32.18,9024,FALSE,90,1101,,,,
"11/12/2010 21",21.00,36.71,32.19,8863,FALSE,60,1101.3,,,,
"11/12/2010 22",22.00,36.44,32.2,8658,FALSE,30,1093.2,,,,
"11/12/2010 23",23.00,30.27,32.21,8358,FALSE,0,0,,,,
"11/12/2010 24",24.00,23,32.22,8053,TRUE,27.75,-690,,,,
"11/13/2010 01",1.00,21.82,32.22,7827,TRUE,55.5,-654.6,,,,
"11/13/2010 02",2.00,29.46,32.23,7694,TRUE,83.25,-883.8,,,,
"11/13/2010 03",3.00,29.06,32.24,7597,TRUE,111,-871.8,,,,
"11/13/2010 04",4.00,18.22,32.24,7520,TRUE,138.75,-546.6,,,,
"11/13/2010 05",5.00,17.65,32.22,7560,TRUE,166.5,-529.5,,,,
"11/13/2010 06",6.00,17.65,32.19,7652,TRUE,194.25,-529.5,,,,
"11/13/2010 07",7.00,15.45,32.14,7791,TRUE,210,-463.5,,,,
"11/13/2010 08",8.00,19.72,32.12,7999,TRUE,210,0,,,,
"11/13/2010 09",9.00,21,32.11,8154,TRUE,210,0,,,,
"11/13/2010 10",10.00,25.04,32.1,8362,TRUE,210,0,,,,
